282	504
289	566
300	626
313	686
335	741
368	787
412	824
461	853
518	863
576	856
628	827
675	789
712	741
733	682
745	620
753	557
758	492
318	461
346	432
389	421
430	429
470	448
547	444
587	423
630	413
674	423
707	451
509	488
509	531
509	572
510	614
472	649
492	657
513	663
534	655
554	648
371	499
394	483
423	483
447	502
421	508
393	508
579	499
603	480
632	478
656	494
634	504
605	504
441	739
470	725
496	714
516	720
535	713
563	722
597	735
565	755
537	764
516	766
494	765
469	758
453	739
495	737
516	738
536	736
584	737
536	736
516	738
495	736
0	0
0	716
0	1432
512	0
512	1432
1023	0
1023	716
1023	1432
