401	654
413	688
429	718
445	749
465	776
493	795
527	811
564	823
600	821
637	809
669	787
694	758
710	723
713	682
711	640
706	597
697	554
395	604
401	579
422	562
447	553
474	553
523	530
550	510
583	498
617	500
646	515
511	585
516	608
521	631
527	655
516	692
529	691
542	689
554	681
566	673
428	631
440	615
460	606
484	613
466	622
446	629
560	584
576	565
598	557
621	562
605	572
583	579
510	748
522	731
537	718
549	717
560	709
585	710
618	714
597	735
579	746
566	752
552	755
534	756
520	746
541	737
554	733
565	728
608	717
570	728
559	733
546	736
0	0
0	960
0	1919
540	0
540	1919
1079	0
1079	960
1079	1919
