302	678
317	704
337	728
363	750
389	771
417	789
445	805
474	816
504	810
532	791
555	761
575	725
588	686
590	644
580	602
563	559
543	521
284	637
285	620
295	610
310	604
327	601
361	575
379	554
402	537
430	527
461	529
363	622
372	648
380	674
387	700
390	722
401	722
414	721
423	709
433	699
313	657
318	643
333	636
353	640
340	653
325	660
406	605
413	587
430	576
452	574
441	591
424	601
419	765
415	755
420	744
431	743
439	733
463	728
490	722
481	746
467	762
456	770
446	774
433	772
424	763
428	755
438	752
447	745
484	726
453	747
444	753
435	756
0	0
0	960
0	1919
540	0
540	1919
1079	0
1079	960
1079	1919
