21	27	38	
21	22	27	
1	2	69	
0	1	69	
0	17	69	
28	29	42	
29	35	42	
2	3	69	
0	1	41	
35	53	54	
35	46	54	
3	4	69	
1	2	29	
33	51	52	
33	50	51	
4	5	69	
2	3	31	
4	48	49	
4	31	49	
5	6	69	
3	4	31	
53	55	65	
53	63	65	
6	7	69	
4	5	48	
51	52	63	
52	53	63	
7	69	72	
5	6	59	
7	8	72	
8	72	74	
6	7	57	
9	10	74	
8	9	74	
7	8	56	
30	34	35	
30	32	34	
8	9	55	
12	13	54	
13	14	54	
10	11	74	
9	10	55	
23	24	43	
22	23	43	
11	12	74	
12	13	74	
10	11	54	
29	30	35	
11	12	54	
1	40	41	
1	29	40	
13	14	74	
17	36	37	
0	17	36	
14	73	74	
14	15	73	
19	20	37	
18	19	37	
15	16	73	
14	15	45	
17	18	37	
16	71	73	
15	16	45	
18	68	69	
28	39	40	
28	29	40	
17	18	69	
22	42	43	
18	19	68	
20	21	22	
19	20	23	
20	22	23	
20	21	38	
22	27	42	
27	28	42	
0	36	41	
24	43	44	
19	23	68	
23	24	68	
44	46	47	
43	44	47	
16	26	71	
25	26	71	
24	25	44	
24	25	71	
24	68	71	
16	26	45	
25	26	45	
2	29	30	
27	28	39	
32	33	34	
2	30	31	
51	62	63	
30	31	32	
31	32	49	
49	60	61	
48	49	60	
8	55	56	
32	33	50	
10	54	55	
14	46	54	
33	34	52	
14	45	46	
34	35	52	
44	45	46	
20	37	38	
37	40	41	
37	38	40	
36	37	41	
27	38	39	
38	39	40	
35	42	47	
42	43	47	
25	44	45	
35	46	47	
5	48	59	
6	58	59	
6	57	58	
32	49	50	
49	50	61	
50	51	61	
7	56	57	
35	52	53	
53	54	64	
54	55	64	
53	55	64	
55	56	65	
62	63	66	
63	65	66	
56	57	65	
58	59	67	
58	66	67	
57	58	66	
62	66	67	
48	59	60	
59	60	67	
60	61	67	
51	61	62	
61	62	67	
57	65	66	
69	70	72	
72	74	75	
