286	210
286	221
287	231
289	242
292	252
296	261
300	271
307	278
316	281
327	280
338	275
348	268
355	259
361	249
365	239
368	228
370	217
289	200
295	197
302	197
309	199
315	203
328	204
336	203
345	203
352	205
359	209
320	212
319	220
318	228
316	236
311	240
314	241
317	243
320	243
324	242
296	210
300	207
306	208
310	213
305	214
299	213
334	216
339	212
345	213
350	217
345	219
339	218
304	254
309	251
313	249
316	251
319	250
325	254
331	258
324	263
319	264
315	264
311	263
308	260
307	254
313	255
316	255
319	256
328	258
319	257
315	257
312	256
0	0
0	613
0	1226
345	0
345	1226
689	0
689	613
689	1226
