310	226
310	239
311	253
314	265
321	275
331	284
343	290
355	295
365	296
372	293
377	285
382	276
386	267
390	258
394	249
396	239
396	231
333	223
342	220
351	219
360	220
369	223
382	220
387	217
392	215
397	214
400	216
375	231
377	239
378	247
380	255
368	260
372	261
376	262
380	261
382	259
344	234
350	234
356	233
360	234
355	236
350	236
381	231
385	229
389	229
392	229
389	232
385	232
356	275
364	272
371	270
374	270
377	269
379	270
380	272
377	276
376	279
372	280
369	280
363	280
359	275
371	273
374	273
376	272
378	272
376	273
373	274
370	274
0	0
0	613
0	1226
345	0
345	1226
689	0
689	613
689	1226
