72	79
72	87
72	95
72	103
75	110
79	117
85	122
92	126
100	127
107	126
113	122
119	118
124	112
126	105
126	97
127	89
127	82
79	76
83	73
88	73
92	73
97	75
107	76
111	74
115	74
119	75
122	79
101	82
101	87
101	93
100	98
94	100
97	101
100	103
104	101
107	100
85	81
88	80
91	80
94	82
91	83
88	82
108	83
111	81
114	81
117	83
114	84
111	84
88	108
93	107
97	107
100	107
103	107
107	107
112	108
108	112
104	115
100	115
97	115
92	112
90	108
97	108
100	109
103	109
110	108
104	111
100	111
97	111
0	0
0	150
0	299
100	0
100	299
199	0
199	150
199	299
