157	339
171	418
188	500
227	582
275	656
331	729
394	779
473	823
555	825
641	795
709	741
762	668
813	587
848	496
858	393
847	277
826	178
221	260
250	233
287	222
336	214
388	227
450	196
501	153
564	130
631	123
687	143
438	274
448	309
454	344
464	382
408	455
444	462
483	467
520	445
557	421
277	325
304	298
342	289
385	302
347	322
308	331
519	261
551	226
596	217
640	227
605	250
562	261
396	606
420	548
460	516
492	516
523	498
582	509
647	543
608	629
556	678
522	690
486	695
441	670
413	599
470	547
500	538
530	533
625	547
538	625
510	638
477	640
0	0
0	480
0	959
480	0
480	959
959	0
959	480
959	959
